filename,width,height,class,xmin,ymin,xmax,ymax
ship0201606110101023,256,256,ship,184,219,208,256
ship0201606110101024,256,256,ship,55,220,80,256
ship0201606110101027,256,256,ship,163,57,212,99
ship0201606110101028,256,256,ship,36,57,85,99
ship0201606110101036,256,256,ship,165,70,212,140
ship0201606110101037,256,256,ship,36,69,84,140
ship02016061101011044,256,256,ship,207,172,240,216
ship02016061101011045,256,256,ship,77,171,113,215
ship02016061101012044,256,256,ship,206,44,241,88
ship02016061101012045,256,256,ship,78,44,113,87
ship02016061101014018,256,256,ship,179,146,241,178
ship02016061101014019,256,256,ship,51,145,114,178
ship02016061101015018,256,256,ship,179,17,241,50
ship02016061101015019,256,256,ship,51,15,113,50
ship02016061101015027,256,256,ship,165,153,224,188
ship02016061101015028,256,256,ship,38,155,96,187
ship02016061101016027,256,256,ship,166,25,223,57
ship02016061101016028,256,256,ship,38,23,95,59
ship02016061101018014,256,256,ship,165,227,196,256
ship02016061101018015,256,256,ship,38,227,69,256
ship02016061101018020,256,256,ship,146,159,193,193
ship02016061101018021,256,256,ship,18,159,65,192
ship02016061101018033,256,256,ship,153,134,211,171
ship02016061101018034,256,256,ship,26,135,82,170
ship02016061101019014,256,256,ship,165,96,202,142
ship02016061101019015,256,256,ship,36,98,75,141
ship02016061101019020,256,256,ship,146,31,192,65
ship02016061101019021,256,256,ship,19,32,65,64
ship02016061101019030,256,256,ship,126,198,173,225
ship02016061101019031,256,256,ship,1,198,46,225
ship02016061101019033,256,256,ship,156,9,209,43
ship02016061101019034,256,256,ship,28,9,82,43
ship02016061101020030,256,256,ship,125,70,175,96
ship02016061101020031,256,256,ship,1,69,46,95
ship02016061101020050,256,256,ship,223,191,253,225
ship02016061101020051,256,256,ship,94,192,127,225
ship0201606110102023,256,256,ship,177,91,209,154
ship0201606110102024,256,256,ship,52,92,81,156
ship02016061101021017,256,256,ship,184,156,222,201
ship02016061101021018,256,256,ship,56,155,93,201
ship02016061101021050,256,256,ship,221,63,253,98
ship02016061101021051,256,256,ship,94,63,125,97
ship02016061101022017,256,256,ship,184,29,221,72
ship02016061101022018,256,256,ship,57,29,94,72
ship02016061101023013,256,256,ship,176,87,211,153
ship02016061101023014,256,256,ship,47,87,83,154
ship02016061101023021,256,256,ship,188,109,228,152
ship02016061101023022,256,256,ship,60,109,100,152
ship02016061101024026,256,256,ship,138,152,194,198
ship02016061101024027,256,256,ship,12,153,68,198
ship02016061101025026,256,256,ship,138,26,194,69
